UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,PERIODO
60403,4151,429,3722,0.45,70.41,30.18,100.59,2014
60404,4720,407,4313,0.45,66.68,28.58,95.26,2014
60405,3660,787,2873,0.45,129.1,55.33,184.43,2014
60406,2767,267,2500,0.45,43.82,18.78,62.59,2014
60407,6536,1248,5288,0.45,204.61,87.69,292.29,2014
60408,7010,455,6555,0.45,74.57,31.96,106.53,2014
60409,9602,1135,8467,0.45,186.18,79.79,265.97,2014
60410,12701,2059,10642,0.48,360.68,154.58,515.25,2014
60411,8147,973,7174,0.45,159.63,68.41,228.04,2014
60412,3924,190,3734,0.45,31.16,13.36,44.52,2014
60413,5358,1040,4318,0.45,170.63,73.13,243.76,2014
60414,1598,866,732,0.45,142.08,60.89,202.97,2014
60415,9093,952,8141,0.45,156.08,66.89,222.97,2014
60416,1011,177,834,0.45,29.06,12.46,41.52,2014
60417,20103,3707,16396,0.45,607.87,260.52,868.39,2014
60418,1006,221,785,0.46,37.37,16.02,53.39,2014
60419,11242,828,10414,0.45,135.75,58.18,193.92,2014
60501,8611,3183,5428,0.68,790.09,338.61,1128.7,2014
60502,2861,2212,649,0.45,362.8,155.49,518.29,2014
60503,1498,223,1275,0.45,36.55,15.66,52.22,2014
60504,3138,237,2901,0.45,38.81,16.63,55.44,2014
60505,3832,588,3244,0.45,96.43,41.33,137.76,2014
60506,1078,112,966,0.45,18.41,7.89,26.29,2014
60507,3179,1719,1460,0.45,281.91,120.82,402.73,2014
60508,7958,5282,2676,0.46,894.2,383.23,1277.42,2014
60601,56302,17745,38557,0.58,3756.63,1609.99,5366.62,2014
60602,10444,523,9921,0.45,85.85,36.79,122.64,2014
60603,3631,374,3257,0.45,61.28,26.26,87.55,2014
60604,3048,290,2758,0.45,47.48,20.35,67.83,2014
60605,4884,594,4290,0.45,97.37,41.73,139.1,2014
60606,5881,472,5409,0.45,77.45,33.19,110.65,2014
60607,17100,931,16169,0.45,152.68,65.43,218.11,2014
60608,5320,1150,4170,0.45,188.65,80.85,269.5,2014
60609,2044,444,1600,0.45,72.85,31.22,104.07,2014
60610,4070,507,3563,0.45,83.11,35.62,118.73,2014
60611,3002,245,2757,0.45,40.1,17.18,57.28,2014
60612,5679,822,4857,0.45,134.86,57.8,192.66,2014
60613,8110,1196,6914,0.45,196.21,84.09,280.31,2014
60614,10859,2234,8625,0.45,366.43,157.04,523.48,2014
60615,1331,347,984,0.45,56.83,24.36,81.19,2014
60701,80820,20683,60137,0.52,3959.85,1697.08,5656.93,2014
60702,3632,239,3393,0.45,39.23,16.81,56.04,2014
60703,17145,2449,14696,0.45,401.66,172.14,573.8,2014
60801,99476,82759,16717,0.63,18998.8,8142.34,27141.15,2014
60802,15545,6521,9024,0.45,1069.4,458.32,1527.72,2014
60803,10324,1430,8894,0.61,317.65,136.14,453.79,2014
60804,10793,1547,9246,0.61,343.84,147.36,491.21,2014
60805,7214,683,6531,0.61,151.76,65.04,216.8,2014
60806,4132,740,3392,0.45,121.36,52.01,173.37,2014
60807,9997,1795,8202,0.25,163.75,70.18,233.93,2014
60808,7663,3660,4003,0.45,600.23,257.24,857.47,2014
60809,8626,989,7637,0.45,162.18,69.5,231.68,2014
60810,6206,419,5787,0.45,68.64,29.42,98.06,2014
60811,7231,554,6677,0.61,123.01,52.72,175.73,2014
60812,11670,2390,9280,0.45,391.9,167.96,559.85,2014
60901,37098,12934,24164,0.64,3021.45,1294.91,4316.36,2014
60902,14341,2740,11601,0.45,449.32,192.57,641.89,2014
60903,20815,2244,18571,0.55,450.38,193.02,643.4,2014
60904,20801,1745,19056,0.61,387.77,166.19,553.96,2014
60905,11523,1705,9818,0.61,378.81,162.35,541.15,2014
60906,21546,1204,20342,0.61,267.43,114.61,382.05,2014
60907,21341,533,20808,0.61,118.45,50.76,169.21,2014
61001,21260,9659,11601,0.48,1692.29,725.27,2417.56,2014
61002,3367,513,2854,0.45,84.07,36.03,120.1,2014
61003,2316,540,1776,0.45,88.58,37.96,126.54,2014
61004,6821,390,6431,0.45,63.91,27.39,91.31,2014
61005,1770,507,1263,0.45,83.2,35.66,118.86,2014
61006,4053,608,3445,0.45,99.78,42.76,142.54,2014
61007,14978,317,14661,0.45,52.02,22.29,74.31,2014
61101,16018,3723,12295,0.46,625.03,267.87,892.9,2014
61102,1525,521,1004,0.45,85.46,36.62,122.08,2014
61103,4475,98,4377,0.45,16.08,6.89,22.98,2014
61104,3506,384,3122,0.45,62.97,26.99,89.96,2014
61105,1479,196,1283,0.45,32.17,13.79,45.95,2014
61106,2268,530,1738,0.45,86.99,37.28,124.28,2014
61107,6020,806,5214,0.45,132.21,56.66,188.87,2014
61108,1534,288,1246,0.46,48.83,20.93,69.76,2014
61109,4150,595,3555,0.45,97.53,41.8,139.33,2014
61110,2343,177,2166,0.46,29.96,12.84,42.8,2014
61111,4543,253,4290,0.45,41.57,17.81,59.38,2014
61112,4843,1106,3737,0.45,181.3,77.7,259,2014
61113,3645,459,3186,0.45,75.2,32.23,107.43,2014
61201,13692,3267,10425,0.46,548.58,235.11,783.69,2014
61202,4860,185,4675,0.45,30.29,12.98,43.27,2014
61203,1306,89,1217,0.45,14.62,6.27,20.89,2014
61204,3645,134,3511,0.45,21.94,9.4,31.34,2014
61301,12091,5525,6566,0.45,906.06,388.31,1294.36,2014
61302,1571,227,1344,0.45,37.2,15.94,53.15,2014
61303,10053,1468,8585,0.45,240.81,103.21,344.02,2014
61304,3948,323,3625,0.45,52.98,22.7,75.68,2014
61305,2664,165,2499,0.45,27.07,11.6,38.67,2014
61306,2849,364,2485,0.45,59.7,25.58,85.28,2014
61307,4588,406,4182,0.45,66.59,28.54,95.13,2014
61308,1910,266,1644,0.45,43.64,18.7,62.35,2014
61309,565,306,259,0.45,50.2,21.51,71.71,2014
61310,1637,198,1439,0.45,32.43,13.9,46.32,2014
61311,3610,845,2765,0.45,138.63,59.41,198.04,2014
70101,410640,410640,0,0.73,125122,53623.71,178745.71,2014
70102,72665,72665,0,0.68,18348.55,7863.66,26212.21,2014
70103,41431,41431,0,0.55,8376.75,3590.04,11966.79,2014
70104,59518,59518,0,0.53,11672.7,5002.59,16675.29,2014
70105,3521,3521,0,0.7,967.25,414.54,1381.79,2014
70106,355830,355830,0,0.56,75124.3,32196.13,107320.43,2014
70107,56371,56371,0,0,0,0,0,2014
80101,118322,115714,2608,0.87,36877.44,15804.62,52682.05,2014
80102,2273,610,1663,0.45,100.07,42.89,142.96,2014
80103,7348,1583,5765,0.45,259.53,111.23,370.75,2014
80104,45236,42368,2868,0.43,6573.94,2817.4,9391.35,2014
80105,110298,106709,3589,0.61,23758.78,10182.33,33941.11,2014
80106,90274,87817,2457,0.65,20834.49,8929.07,29763.56,2014
80107,5034,2153,2881,0.45,353.12,151.34,504.45,2014
80108,63844,63844,0,0.5,11642.62,4989.69,16632.31,2014
80201,5584,2236,3348,0.45,366.63,157.13,523.76,2014
80202,2425,1390,1035,0.45,228,97.71,325.72,2014
80203,2394,1386,1008,0.45,227.23,97.38,324.61,2014
80204,2249,748,1501,0.45,122.68,52.58,175.25,2014
80205,9012,5027,3985,0.45,824.36,353.3,1177.66,2014
80206,2468,1191,1277,0.45,195.29,83.7,278.99,2014
80207,3776,2703,1073,0.45,443.35,190.01,633.35,2014
80301,16816,7289,9527,0.55,1463.28,627.12,2090.4,2014
80302,6992,1673,5319,0.35,213.66,91.57,305.23,2014
80303,2272,1705,567,0.45,279.67,119.86,399.53,2014
80304,4398,878,3520,0.45,143.97,61.7,205.67,2014
80305,5812,2273,3539,0.45,372.81,159.78,532.59,2014
80306,9799,2000,7799,0.45,327.91,140.53,468.44,2014
80307,2664,1067,1597,0.45,174.99,75,249.99,2014
80308,4198,1751,2447,0.45,287.22,123.09,410.32,2014
80309,3687,1473,2214,0.45,241.53,103.51,345.04,2014
80401,22976,12389,10587,0.52,2371.89,1016.53,3388.42,2014
80402,4020,1374,2646,0.45,225.26,96.54,321.81,2014
80403,5765,1946,3819,0.45,319.14,136.77,455.91,2014
80404,7270,1983,5287,0.45,325.2,139.37,464.57,2014
80405,10183,3691,6492,0.44,592.83,254.07,846.9,2014
80406,5620,1290,4330,0.45,211.56,90.67,302.22,2014
80407,4712,539,4173,0.45,88.39,37.88,126.27,2014
80408,13129,3082,10047,0.61,684.96,293.55,978.51,2014
80501,10032,2387,7645,0.52,453.01,194.15,647.15,2014
80502,6319,261,6058,0.45,42.78,18.33,61.12,2014
80503,5760,1191,4569,0.45,195.31,83.71,279.02,2014
80504,2512,326,2186,0.45,53.49,22.93,76.42,2014
80505,6378,608,5770,0.45,99.77,42.76,142.52,2014
80506,2028,830,1198,0.45,136.15,58.35,194.5,2014
80507,3593,283,3310,0.45,46.45,19.91,66.36,2014
80508,2908,428,2480,0.45,70.13,30.05,100.18,2014
80601,59833,46065,13768,1.2,20094.32,8611.85,28706.17,2014
80602,5031,2405,2626,0.45,394.36,169.01,563.37,2014
80603,5413,2063,3350,0.45,338.26,144.97,483.22,2014
80604,11330,2794,8536,0.45,458.21,196.38,654.59,2014
80605,7518,3293,4225,0.45,540.04,231.45,771.49,2014
80606,4763,1513,3250,0.52,287.24,123.1,410.34,2014
80607,2852,1458,1394,0.45,239.04,102.45,341.49,2014
80608,5666,2638,3028,0.45,432.65,185.42,618.07,2014
80701,26538,10766,15772,0.8,3143.68,1347.29,4490.97,2014
80702,4631,629,4002,0.45,103.18,44.22,147.4,2014
80703,8786,1284,7502,0.45,210.57,90.24,300.81,2014
80704,8673,1192,7481,0.45,195.53,83.8,279.33,2014
80705,13232,1089,12143,0.45,178.63,76.56,255.19,2014
80706,7043,1064,5979,0.45,174.54,74.8,249.34,2014
80707,4864,818,4046,0.45,134.14,57.49,191.63,2014
80708,8490,2134,6356,0.45,349.92,149.97,499.88,2014
80801,33057,27453,5604,0.5,5050.02,2164.29,7214.31,2014
80802,1387,547,840,0.45,89.63,38.41,128.04,2014
80803,17738,528,17210,0.45,86.51,37.07,123.58,2014
80804,1630,154,1476,0.45,25.31,10.85,36.15,2014
80805,5558,1567,3991,0.45,257.01,110.15,367.16,2014
80806,3663,599,3064,0.45,98.27,42.12,140.39,2014
80807,2798,279,2519,0.45,45.79,19.62,65.41,2014
80808,3082,300,2782,0.45,49.27,21.11,70.38,2014
80901,34612,27678,6934,0.77,7777.39,3333.17,11110.55,2014
80902,45124,6508,38616,0.3,712.65,305.42,1018.07,2014
80903,4874,2009,2865,0.58,425.28,182.26,607.54,2014
80904,6208,669,5539,0.61,148.75,63.75,212.5,2014
80905,6767,431,6336,0.61,95.76,41.04,136.8,2014
80906,17839,1873,15966,0.61,416.13,178.34,594.46,2014
80907,16975,5165,11810,0.61,1149.9,492.81,1642.71,2014
80908,6607,1437,5170,0.61,319.26,136.83,456.09,2014
80909,14115,482,13633,0.45,79.09,33.89,112.98,2014
80910,19867,8711,11156,0.61,1935.72,829.59,2765.31,2014
80911,4992,0,4992,0,0,0,0,2014
80912,1795,1416,379,0,0,0,0,2014
81001,3393,1623,1770,0.45,266.17,114.07,380.24,2014
81002,3833,1274,2559,0.45,208.98,89.56,298.55,2014
81003,3741,835,2906,0.45,137,58.72,195.72,2014
81004,1174,1129,45,0.45,185.17,79.36,264.53,2014
81005,5692,1361,4331,0.45,223.11,95.62,318.73,2014
81006,7170,1820,5350,0.45,298.46,127.91,426.38,2014
81007,2084,700,1384,0.45,114.71,49.16,163.88,2014
81008,1246,1120,126,0.45,183.67,78.72,262.38,2014
81009,2514,475,2039,0.45,77.87,33.37,111.24,2014
81101,13157,3880,9277,0.45,636.36,272.72,909.08,2014
81102,2703,629,2074,0.45,103.21,44.23,147.45,2014
81103,11194,981,10213,0.45,160.9,68.96,229.86,2014
81104,10619,617,10002,0.45,101.23,43.39,144.62,2014
81105,7607,1434,6173,0.45,235.23,100.81,336.05,2014
81106,5548,1889,3659,0.61,419.78,179.9,599.68,2014
81201,9452,5403,4049,0.45,886.05,379.74,1265.78,2014
81202,5447,3344,2103,0.45,548.43,235.04,783.48,2014
81203,2113,1335,778,0.61,296.71,127.16,423.87,2014
81204,3127,643,2484,0.3,70.36,30.15,100.51,2014
81205,17606,2383,15223,0.33,287.07,123.03,410.1,2014
81206,4814,1200,3614,0.45,196.74,84.32,281.06,2014
81207,4516,1887,2629,0.45,309.4,132.6,442,2014
81208,4020,3224,796,0.45,528.77,226.61,755.38,2014
81209,4560,561,3999,0.45,91.99,39.42,131.41,2014
81210,15485,2771,12714,0.45,454.47,194.77,649.24,2014
81211,7234,6408,826,0.45,1050.94,450.4,1501.34,2014
81212,10985,1579,9406,0.45,258.89,110.95,369.85,2014
81301,20661,13726,6935,0.52,2628.02,1126.29,3754.31,2014
81302,9818,2776,7042,0.45,455.24,195.1,650.34,2014
81303,5249,1340,3909,0.45,219.69,94.15,313.85,2014
81304,7943,6681,1262,0.45,1095.59,469.54,1565.13,2014
81305,5914,1542,4372,0.47,264.58,113.39,377.97,2014
81306,11151,3376,7775,0.48,591.39,253.45,844.85,2014
81307,3305,3111,194,0.45,510.18,218.65,728.83,2014
90101,40096,34704,5392,0.51,6423.5,2752.93,9176.43,2014
90102,4532,892,3640,0.45,146.23,62.67,208.9,2014
90103,35821,4259,31562,0.3,466.32,199.85,666.17,2014
90104,1238,661,577,0.45,108.34,46.43,154.77,2014
90105,2014,382,1632,0.45,62.61,26.83,89.45,2014
90106,2915,1728,1187,0.45,283.32,121.42,404.74,2014
90107,773,495,278,0.45,81.2,34.8,116,2014
90108,896,531,365,0.45,87.05,37.31,124.36,2014
90109,1445,497,948,0.45,81.45,34.91,116.36,2014
90110,1843,383,1460,0.45,62.84,26.93,89.78,2014
90111,983,983,0,0.45,161.2,69.09,230.29,2014
90112,2462,751,1711,0.45,123.15,52.78,175.93,2014
90113,2669,683,1986,0.45,112.01,48.01,160.02,2014
90114,3269,694,2575,0.45,113.8,48.77,162.58,2014
90115,526,347,179,0.45,56.91,24.39,81.3,2014
90116,3081,283,2798,0.45,46.47,19.91,66.38,2014
90117,32834,4866,27968,0.45,797.92,341.96,1139.88,2014
90118,11943,11147,796,0.42,1698.82,728.07,2426.89,2014
90119,7691,1318,6373,0.42,201.99,86.57,288.56,2014
90201,10082,4795,5287,0.8,1400.11,600.05,2000.16,2014
90202,5489,1907,3582,0.45,312.67,134,446.67,2014
90203,9292,582,8710,0.45,95.46,40.91,136.37,2014
90204,2851,784,2067,0.45,128.54,55.09,183.63,2014
90205,2392,1095,1297,0.45,179.64,76.99,256.63,2014
90206,35041,10321,24720,0.54,2034.35,871.87,2906.22,2014
90207,3998,1581,2417,0.45,259.31,111.13,370.44,2014
90208,7681,1939,5742,0.45,318.03,136.3,454.32,2014
90301,24927,7036,17891,0.45,1155.72,495.31,1651.03,2014
90302,7972,1406,6566,0.45,230.49,98.78,329.27,2014
90303,787,571,216,0.45,93.71,40.16,133.87,2014
90304,2845,1096,1749,0.45,179.75,77.03,256.78,2014
90305,3069,193,2876,0.45,31.6,13.54,45.14,2014
90306,4181,863,3318,0.45,141.48,60.63,202.12,2014
90307,1741,904,837,0.45,148.23,63.53,211.76,2014
90308,2165,1724,441,0.45,282.69,121.15,403.84,2014
90309,1747,860,887,0.45,141,60.43,201.43,2014
90310,6773,1230,5543,0.45,201.78,86.48,288.26,2014
90311,2514,765,1749,0.45,125.4,53.74,179.14,2014
90312,3733,528,3205,0.45,86.65,37.14,123.79,2014
90401,3284,1258,2026,0.43,197.42,84.61,282.03,2014
90402,1451,274,1177,0.45,44.93,19.26,64.19,2014
90403,2231,513,1718,0.45,84.11,36.05,120.16,2014
90404,1443,115,1328,0.45,18.9,8.1,27.01,2014
90405,1202,292,910,0.45,47.84,20.5,68.34,2014
90406,921,154,768,0.45,25.17,10.79,35.96,2014
90407,1696,721,975,0.45,118.21,50.66,168.88,2014
90408,396,154,242,0.45,25.28,10.83,36.11,2014
90409,1652,150,1502,0.45,24.64,10.56,35.21,2014
90410,492,116,376,0.45,19,8.14,27.14,2014
90411,2140,1040,1100,0.45,170.6,73.12,243.72,2014
90412,732,381,351,0.45,62.48,26.78,89.26,2014
90413,1646,834,812,0.45,136.84,58.65,195.49,2014
90501,5943,2692,3251,0.45,442.12,189.48,631.6,2014
90502,6588,777,5811,0.45,127.49,54.64,182.14,2014
90503,3400,434,2966,0.45,71.12,30.48,101.6,2014
90504,3041,213,2828,0.45,34.89,14.95,49.84,2014
90505,1634,920,714,0.45,150.89,64.67,215.56,2014
90506,4167,1085,3082,0.45,177.96,76.27,254.23,2014
90507,7312,779,6533,0.45,127.69,54.73,182.42,2014
90508,1236,768,468,0.45,125.97,53.99,179.96,2014
90509,4437,2509,1928,0.45,411.4,176.32,587.72,2014
90510,2907,190,2717,0.45,31.16,13.36,44.52,2014
90511,4129,0,4129,0.45,0,0,0,2014
90601,2131,775,1356,0.45,127.11,54.47,181.58,2014
90602,643,162,481,0.45,26.59,11.39,37.98,2014
90603,2736,494,2242,0.45,80.94,34.69,115.63,2014
90604,469,260,209,0.45,42.63,18.27,60.91,2014
90605,878,672,206,0.45,110.2,47.23,157.43,2014
90606,2374,265,2109,0.45,43.42,18.61,62.02,2014
90607,3715,668,3047,0.45,109.54,46.95,156.49,2014
90608,988,594,394,0.45,97.41,41.75,139.15,2014
90609,792,136,656,0.45,22.26,9.54,31.8,2014
90610,1665,194,1471,0.45,31.8,13.63,45.43,2014
90611,611,291,320,0.45,47.72,20.45,68.17,2014
90612,1168,611,557,0.45,100.24,42.96,143.2,2014
90613,2962,669,2293,0.45,109.76,47.04,156.8,2014
90614,665,296,369,0.45,48.59,20.82,69.41,2014
90615,1001,203,798,0.45,33.26,14.25,47.51,2014
90616,344,202,142,0.45,33.13,14.2,47.33,2014
90701,11185,7546,3639,0.55,1514.77,649.19,2163.96,2014
90702,4203,835,3368,0.45,136.88,58.66,195.54,2014
90703,5037,774,4263,0.45,126.85,54.36,181.21,2014
90704,5486,836,4650,0.45,137.05,58.74,195.79,2014
90705,12572,2028,10544,0.45,332.59,142.54,475.12,2014
