UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,PERIODO
30220,3756,0,3756,0.47,0,0,0,2015
30301,3164,2012,1152,0.33,242.31,103.85,346.16,2015
30302,552,366,186,0.43,57.15,24.49,81.65,2015
30303,1571,1226,345,0.43,191.57,82.1,273.68,2015
30304,2066,1761,305,0.43,275.03,117.87,392.9,2015
30305,3110,1769,1341,0.43,276.3,118.42,394.72,2015
30306,1286,1015,271,0.43,158.63,67.98,226.62,2015
30307,1648,1220,428,0.43,190.57,81.67,272.24,2015
30401,5015,4006,1009,0.45,658,282,939.99,2015
30402,970,367,603,0.43,57.37,24.59,81.96,2015
30403,1472,1363,109,0.43,212.91,91.25,304.16,2015
30404,2160,1129,1031,0.74,304.97,130.7,435.68,2015
30405,933,631,302,0.43,98.65,42.28,140.93,2015
30406,5326,1055,4271,0.43,164.8,70.63,235.43,2015
30407,728,204,524,0.43,31.93,13.68,45.61,2015
30408,1292,475,817,0.43,74.16,31.78,105.94,2015
30409,2159,503,1656,0.43,78.57,33.67,112.25,2015
30410,1177,616,561,0.43,96.22,41.24,137.46,2015
30411,856,559,297,0.43,87.33,37.43,124.76,2015
30412,1441,610,831,0.43,95.31,40.85,136.16,2015
30413,825,157,668,0.43,24.57,10.53,35.1,2015
30414,2259,295,1964,0.43,46.04,19.73,65.77,2015
30415,3227,782,2445,0.43,122.23,52.38,174.62,2015
30416,1962,639,1323,0.43,99.75,42.75,142.5,2015
30417,1193,654,539,0.43,102.17,43.79,145.96,2015
30501,11582,3577,8005,0.42,548.37,235.02,783.39,2015
30502,4237,1421,2816,0.43,221.96,95.13,317.08,2015
30503,8542,1168,7374,0.43,182.52,78.22,260.74,2015
30504,11802,4369,7433,0.43,682.58,292.53,975.11,2015
30505,6695,1197,5498,0.43,187,80.14,267.15,2015
30506,9908,2256,7652,0.43,352.44,151.05,503.49,2015
30601,6809,2533,4276,0.42,388.37,166.44,554.81,2015
30602,12477,8676,3801,0.46,1459.55,625.52,2085.06,2015
30603,2675,628,2047,0.43,98.08,42.03,140.11,2015
30604,10327,3253,7074,0.23,273.09,117.04,390.13,2015
30605,8316,813,7503,0.43,126.94,54.4,181.34,2015
30606,3769,264,3505,0.43,41.31,17.71,59.02,2015
30607,3649,1203,2446,0.43,187.89,80.52,268.41,2015
30608,5298,1237,4061,0.43,193.27,82.83,276.11,2015
30609,3371,840,2531,0.43,131.3,56.27,187.56,2015
30610,1991,0,1991,0.43,0,0,0,2015
30701,5402,2570,2832,0.23,215.76,92.47,308.23,2015
30702,2369,430,1939,0.43,67.14,28.78,95.92,2015
30703,3985,425,3560,0.43,66.41,28.46,94.88,2015
30704,1685,474,1211,0.43,74.08,31.75,105.83,2015
30705,981,693,288,0.43,108.32,46.42,154.75,2015
30706,1680,719,961,0.43,112.3,48.13,160.43,2015
30707,1121,564,557,0.43,88.08,37.75,125.82,2015
30708,3325,865,2460,0.43,135.06,57.88,192.94,2015
30709,366,318,48,0.43,49.73,21.31,71.05,2015
30710,716,333,383,0.43,52,22.29,74.28,2015
30711,769,597,172,0.43,93.23,39.96,133.19,2015
30712,1401,1145,256,0.43,178.81,76.63,255.44,2015
30713,1296,1166,130,0.43,182.17,78.07,260.25,2015
30714,1624,494,1130,0.43,77.2,33.09,110.28,2015
40101,54095,54095,0,0.47,9280,3977.14,13257.14,2015
40102,82412,82412,0,0.44,13235.37,5672.3,18907.67,2015
40103,91802,91790,12,0.57,19096.85,8184.37,27281.22,2015
40104,148164,147428,736,0.51,27443.76,11761.61,39205.38,2015
40105,9288,8226,1062,0.28,840.71,360.3,1201.01,2015
40106,2940,2046,894,0.42,313.61,134.41,448.02,2015
40107,48326,48326,0,0.42,7320.39,3137.31,10457.7,2015
40108,30233,20975,9258,0.36,2756.13,1181.2,3937.33,2015
40109,52667,52667,0,0.58,11149.6,4778.4,15928.01,2015
40110,48677,48677,0,0.43,7639.86,3274.22,10914.08,2015
40111,1868,564,1304,0.43,88.17,37.79,125.95,2015
40112,124755,124755,0,0.46,20946.36,8977.01,29923.38,2015
40113,547,310,237,0.43,48.4,20.74,69.15,2015
40114,1477,543,934,0.43,84.79,36.34,121.13,2015
40115,1376,1043,333,0.43,162.94,69.83,232.77,2015
40116,4136,3954,182,0.29,418.5,179.36,597.86,2015
40117,19581,19581,0,0.53,3787.94,1623.4,5411.35,2015
40118,1535,510,1025,0.47,86.69,37.15,123.85,2015
